"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","quality.class"
"54",6.4,0.18,0.35,1,0.045,0.039,0.108,0.9911,3.31,0.35,10.9,6,"high"
"55",6.8,0.2,0.31,0.9,0.042,0.038,0.132,0.993,3.05,0.38,9.1,6,"high"
"56",6.9,0.25,0.35,1.3,0.039,0.029,0.191,0.9908,3.13,0.52,11,6,"high"
"57",7.2,0.21,0.34,11.9,0.043,0.037,0.213,0.9962,3.09,0.5,9.6,6,"high"
"58",6,0.19,0.26,12.4,0.048,0.05,0.147,0.9972,3.3,0.36,8.9,6,"high"
"59",6.6,0.38,0.15,4.6,0.044,0.025,0.078,0.9931,3.11,0.38,10.2,6,"high"
"60",7.4,0.2,0.36,1.2,0.038,0.044,0.111,0.9926,3.36,0.34,9.9,6,"high"
"61",6.8,0.22,0.24,4.9,0.042,0.03,0.123,0.9951,3.03,0.46,8.6,6,"high"
"62",6,0.19,0.26,12.4,0.048,0.05,0.147,0.9972,3.3,0.36,8.9,6,"high"
"63",7,0.47,0.31,1.1,0.035,0.017,0.151,0.991,3.02,0.34,10.5,5,"low"
"64",6.6,0.38,0.15,4.6,0.044,0.025,0.078,0.9931,3.11,0.38,10.2,6,"high"
"65",7.2,0.24,0.27,1.4,0.038,0.031,0.122,0.9927,3.15,0.46,10.3,6,"high"
"66",6.2,0.35,0.31,1.2,0.064,0.029,0.12,0.9934,3.22,0.54,9.1,5,"low"
"67",6.4,0.26,0.24,6.4,0.04,0.027,0.124,0.9903,3.22,0.49,12.6,7,"high"
"68",6.7,0.25,0.13,1.2,0.041,0.033,0.174,0.992,3.14,0.42,9.8,5,"low"
"69",6.7,0.23,0.31,2.1,0.046,0.03,0.096,0.9926,3.33,0.64,10.7,8,"high"
"70",7.4,0.24,0.29,10.1,0.05,0.021,0.105,0.9962,3.13,0.35,9.5,5,"low"
"71",6.2,0.27,0.43,7.8,0.056,0.048,0.244,0.9956,3.1,0.51,9,6,"high"
"72",6.8,0.3,0.23,4.6,0.061,0.0505,0.2385,0.9958,3.32,0.6,9.5,5,"low"
"73",6,0.27,0.28,4.8,0.063,0.031,0.201,0.9964,3.17,0.71,10,5,"low"
"74",8.6,0.23,0.46,1,0.054,0.009,0.072,0.9941,2.95,0.49,9.1,6,"high"
"75",6.7,0.23,0.31,2.1,0.046,0.03,0.096,0.9926,3.33,0.64,10.7,8,"high"
"76",7.4,0.24,0.29,10.1,0.05,0.021,0.105,0.9962,3.13,0.35,9.5,5,"low"
"77",7.1,0.18,0.36,1.4,0.043,0.031,0.087,0.9898,3.26,0.37,12.7,7,"high"
"78",7,0.32,0.34,1.3,0.042,0.02,0.069,0.9912,3.31,0.65,12,7,"high"
"79",7.4,0.18,0.3,8.8,0.064,0.026,0.103,0.9961,2.94,0.56,9.3,5,"low"
"80",6.7,0.26,0.28,5.4,0.06,0.021,0.105,0.9949,3.27,0.37,9,5,"low"
"81",6.8,0.22,0.31,1.4,0.053,0.034,0.114,0.9929,3.39,0.47,10.6,6,"high"
"82",7.1,0.2,0.34,16,0.05,0.051,0.166,0.9985,3.21,0.6,9.2,6,"high"
"83",7.1,0.34,0.2,6.1,0.063,0.047,0.164,0.9946,3.17,0.42,10,5,"low"
"84",7.3,0.22,0.3,8.2,0.047,0.042,0.207,0.9966,3.33,0.46,9.5,6,"high"
"85",7.1,0.43,0.31,11.8,0.045,0.054,0.155,0.9974,3.11,0.45,8.7,5,"low"
"86",7.1,0.44,0.31,11.8,0.044,0.052,0.152,0.9975,3.12,0.46,8.7,6,"high"
"87",7.2,0.39,0.31,11,0.044,0.055,0.156,0.9974,3.09,0.44,8.7,6,"high"
"88",6.8,0.25,0.31,13.3,0.05,0.069,0.202,0.9972,3.22,0.48,9.7,6,"high"
"89",7.1,0.43,0.31,11.8,0.045,0.054,0.155,0.9974,3.11,0.45,8.7,5,"low"
"90",7.1,0.44,0.31,11.8,0.044,0.052,0.152,0.9975,3.12,0.46,8.7,6,"high"
"91",7.2,0.39,0.31,11,0.044,0.055,0.156,0.9974,3.09,0.44,8.7,6,"high"
"92",6.1,0.27,0.43,7.5,0.049,0.065,0.243,0.9957,3.12,0.47,9,5,"low"
"93",6.9,0.24,0.33,1.7,0.035,0.047,0.136,0.99,3.26,0.4,12.6,7,"high"
"94",6.9,0.21,0.33,1.8,0.034,0.048,0.136,0.9899,3.25,0.41,12.6,7,"high"
"95",7.5,0.17,0.32,1.7,0.04,0.051,0.148,0.9916,3.21,0.44,11.5,7,"high"
"96",7.1,0.26,0.29,12.4,0.044,0.062,0.24,0.9969,3.04,0.42,9.2,6,"high"
"97",6,0.34,0.31,15.9,0.046,0.026,0.164,0.9979,3.14,0.5,8.8,6,"high"
"98",8.6,0.265,0.36,1.2,0.034,0.015,0.08,0.9913,2.95,0.36,11.4,7,"high"
"99",6.8,0.36,0.46,10.5,0.038,0.004,0.083,0.9956,2.89,0.3,10.1,4,"low"
"100",6,0.34,0.31,15.9,0.046,0.026,0.164,0.9979,3.14,0.5,8.8,6,"high"
"101",7.4,0.25,0.37,13.5,0.06,0.052,0.192,0.9975,3,0.44,9.1,5,"low"
"102",7.1,0.12,0.32,9.6,0.054,0.064,0.162,0.9962,3.4,0.41,9.4,5,"low"
"103",6,0.21,0.24,12.1,0.05,0.055,0.164,0.997,3.34,0.39,9.4,5,"low"
"104",7.5,0.305,0.4,18.9,0.059,0.044,0.17,1,2.99,0.46,9,5,"low"
"105",7.4,0.25,0.37,13.5,0.06,0.052,0.192,0.9975,3,0.44,9.1,5,"low"
"106",7.3,0.13,0.32,14.4,0.051,0.034,0.109,0.9974,3.2,0.35,9.2,6,"high"
"107",7.1,0.12,0.32,9.6,0.054,0.064,0.162,0.9962,3.4,0.41,9.4,5,"low"
"108",7.1,0.23,0.35,16.5,0.04,0.06,0.171,0.999,3.16,0.59,9.1,6,"high"
"109",7.1,0.23,0.35,16.5,0.04,0.06,0.171,0.999,3.16,0.59,9.1,6,"high"
"110",6.9,0.33,0.28,1.3,0.051,0.037,0.187,0.9927,3.27,0.6,10.3,5,"low"
"111",6.5,0.17,0.54,8.5,0.042,0.064,0.163,0.9959,2.89,0.39,8.8,6,"high"
"112",7.2,0.27,0.46,18.75,0.052,0.045,0.255,1,3.04,0.52,8.9,5,"low"
"113",7.2,0.31,0.5,13.3,0.056,0.068,0.195,0.9982,3.01,0.47,9.2,5,"low"
"114",6.7,0.41,0.34,9.2,0.049,0.029,0.15,0.9968,3.22,0.51,9.1,5,"low"
"115",6.7,0.41,0.34,9.2,0.049,0.029,0.15,0.9968,3.22,0.51,9.1,5,"low"
"116",5.5,0.485,0.31,1.5,0.065,0.008,0.103,0.994,3.17,0.4,9.7,4,"low"
"117",6,0.31,0.24,3.3,0.041,0.025,0.143,0.9914,3.31,0.44,11.3,6,"high"
"118",7,0.14,0.4,1.7,0.035,0.016,0.085,0.9911,3.19,0.42,11.8,6,"high"
"119",7.2,0.31,0.5,13.3,0.056,0.068,0.195,0.9982,3.01,0.47,9.2,5,"low"
"120",7.3,0.32,0.48,13.3,0.06,0.057,0.196,0.9982,3.04,0.5,9.2,5,"low"
"121",5.9,0.36,0.31,5.7,0.046,0.021,0.087,0.9934,3.22,0.51,10.2,5,"low"
"122",7.8,0.24,0.32,12.2,0.054,0.042,0.138,0.9984,3.01,0.54,8.8,5,"low"
"123",7.4,0.16,0.31,6.85,0.059,0.031,0.131,0.9952,3.29,0.34,9.7,5,"low"
"124",6.9,0.19,0.28,5,0.058,0.014,0.146,0.9952,3.29,0.36,9.1,6,"high"
"125",6.4,0.13,0.47,1.6,0.042,0.04,0.158,0.9928,3.21,0.36,9.8,6,"high"
"126",6.7,0.19,0.36,1.1,0.026,0.063,0.143,0.9912,3.27,0.48,11,6,"high"
"127",7.4,0.39,0.23,7,0.033,0.029,0.126,0.994,3.14,0.42,10.5,5,"low"
"128",6.5,0.24,0.32,7.6,0.038,0.048,0.203,0.9958,3.45,0.54,9.7,7,"high"
"129",6.1,0.3,0.56,2.8,0.044,0.047,0.179,0.9924,3.3,0.57,10.9,7,"high"
"130",6.1,0.3,0.56,2.7,0.046,0.046,0.184,0.9924,3.31,0.57,10.9,6,"high"
"131",5.7,0.26,0.25,10.4,0.02,0.007,0.057,0.994,3.39,0.37,10.6,5,"low"
"132",6.5,0.24,0.32,7.6,0.038,0.048,0.203,0.9958,3.45,0.54,9.7,7,"high"
"133",6.5,0.425,0.4,13.1,0.038,0.059,0.241,0.9979,3.23,0.57,9,5,"low"
"134",6.6,0.24,0.27,15.8,0.035,0.046,0.188,0.9982,3.24,0.51,9.2,5,"low"
"135",6.8,0.27,0.22,8.1,0.034,0.055,0.203,0.9961,3.19,0.52,8.9,5,"low"
"136",6.7,0.27,0.31,15.7,0.036,0.044,0.179,0.9979,3.26,0.56,9.6,5,"low"
"137",8.2,0.23,0.4,1.2,0.027,0.036,0.121,0.992,3.12,0.38,10.7,6,"high"
"138",7.1,0.37,0.31,10.5,0.045,0.049,0.155,0.9975,3.16,0.44,8.7,5,"low"
"139",6.8,0.19,0.36,1.9,0.035,0.03,0.096,0.9917,3.15,0.54,10.8,7,"high"
"140",8.1,0.28,0.39,1.9,0.029,0.018,0.079,0.9923,3.23,0.52,11.8,6,"high"
"141",6.3,0.31,0.34,2.2,0.045,0.02,0.077,0.9927,3.3,0.43,10.2,5,"low"
"142",7.1,0.37,0.31,10.5,0.045,0.049,0.155,0.9975,3.16,0.44,8.7,5,"low"
"143",7.9,0.21,0.4,1.2,0.039,0.038,0.107,0.992,3.21,0.54,10.8,6,"high"
"144",8.5,0.21,0.41,4.3,0.036,0.024,0.099,0.9947,3.18,0.53,9.7,6,"high"
"145",8.1,0.2,0.4,2,0.037,0.019,0.087,0.9921,3.12,0.54,11.2,6,"high"
"146",6.3,0.255,0.37,1.1,0.04,0.037,0.114,0.9905,3,0.39,10.9,6,"high"
"147",5.6,0.16,0.27,1.4,0.044,0.053,0.168,0.9918,3.28,0.37,10.1,6,"high"
"148",6.4,0.26,0.14,5.2,0.058,0.015,0.097,0.9951,3.38,0.36,9,4,"low"
"149",6.3,0.34,0.33,4.6,0.034,0.019,0.08,0.9917,3.38,0.58,12,7,"high"
"150",6.9,0.25,0.3,4.1,0.054,0.023,0.116,0.994,2.99,0.38,9.4,6,"high"
"151",7.9,0.22,0.38,8,0.043,0.046,0.152,0.9934,3.12,0.32,11.5,7,"high"
"152",7.6,0.18,0.46,10.2,0.055,0.058,0.135,0.9968,3.14,0.43,9.9,6,"high"
"153",6.9,0.25,0.3,4.1,0.054,0.023,0.116,0.994,2.99,0.38,9.4,6,"high"
"154",7.2,0.18,0.41,1.2,0.048,0.041,0.097,0.9919,3.14,0.45,10.4,5,"low"
"155",8.2,0.23,0.4,7.5,0.049,0.012,0.076,0.9966,3.06,0.47,9.7,6,"high"
"156",7.4,0.24,0.42,14,0.066,0.048,0.198,0.9979,2.89,0.42,8.9,6,"high"
"157",7.4,0.24,0.42,14,0.066,0.048,0.198,0.9979,2.89,0.42,8.9,6,"high"
"158",6.1,0.32,0.24,1.5,0.036,0.038,0.124,0.9898,3.29,0.42,12.4,7,"high"
"159",5.2,0.44,0.31,1.4,0.036,0.043,0.119,0.9894,3.36,0.33,12.1,8,"high"
"160",5.2,0.44,0.31,1.4,0.036,0.043,0.119,0.9894,3.36,0.33,12.1,8,"high"
"161",6.1,0.32,0.24,1.5,0.036,0.038,0.124,0.9898,3.29,0.42,12.4,7,"high"
"162",6.4,0.22,0.56,14.5,0.055,0.027,0.159,0.998,2.98,0.4,9.1,5,"low"
"163",6.3,0.36,0.3,4.8,0.049,0.014,0.085,0.9932,3.28,0.39,10.6,5,"low"
"164",7.4,0.24,0.42,14,0.066,0.048,0.198,0.9979,2.89,0.42,8.9,6,"high"
"165",6.7,0.24,0.35,13.1,0.05,0.064,0.205,0.997,3.15,0.5,9.5,5,"low"
"166",7,0.23,0.36,13,0.051,0.072,0.177,0.9972,3.16,0.49,9.8,5,"low"
"167",8.4,0.27,0.46,8.7,0.048,0.039,0.197,0.9974,3.14,0.59,9.6,6,"high"
"168",6.7,0.46,0.18,2.4,0.034,0.025,0.098,0.9896,3.08,0.44,12.6,7,"high"
"169",7.5,0.29,0.31,8.95,0.055,0.02,0.151,0.9968,3.08,0.54,9.3,5,"low"
"170",6.8,0.42,0.48,9.85,0.034,0.005,0.11,0.9958,2.87,0.29,10,5,"low"
"171",7.1,0.3,0.46,1.5,0.066,0.029,0.133,0.9906,3.12,0.54,12.7,6,"high"
"172",7.9,0.19,0.45,1.5,0.045,0.017,0.096,0.9917,3.13,0.39,11,6,"high"
"173",7.6,0.48,0.37,0.8,0.037,0.004,0.1,0.9902,3.03,0.39,11.4,4,"low"
"174",6.3,0.22,0.43,4.55,0.038,0.031,0.13,0.9918,3.35,0.33,11.5,7,"high"
"175",7.5,0.27,0.31,17.7,0.051,0.033,0.173,0.999,3.09,0.64,10.2,5,"low"
"176",6.9,0.23,0.4,7.5,0.04,0.05,0.151,0.9927,3.11,0.27,11.4,6,"high"
"177",7.2,0.32,0.47,5.1,0.044,0.019,0.065,0.991,3.03,0.41,12.6,4,"low"
"178",5.9,0.23,0.3,12.9,0.054,0.057,0.17,0.9972,3.28,0.39,9.4,5,"low"
"179",6,0.26,0.31,1.2,0.06,0.009,0.108,0.9931,3.11,0.35,8.7,4,"low"
"180",6.4,0.25,0.32,5.5,0.049,0.041,0.176,0.995,3.19,0.68,9.2,6,"high"
"181",6.4,0.33,0.31,5.5,0.048,0.042,0.173,0.9951,3.19,0.66,9.3,6,"high"
"182",7.1,0.34,0.15,1.2,0.053,0.061,0.183,0.9936,3.09,0.43,9.2,5,"low"
"183",6.8,0.28,0.4,22,0.048,0.048,0.167,1.001,2.93,0.5,8.7,5,"low"
"184",6.9,0.27,0.4,14,0.05,0.064,0.227,0.9979,3.18,0.58,9.6,6,"high"
"185",6.8,0.26,0.56,11.9,0.043,0.064,0.226,0.997,3.02,0.63,9.3,5,"low"
"186",6.8,0.29,0.56,11.9,0.043,0.066,0.23,0.9972,3.02,0.63,9.3,5,"low"
"187",6.7,0.24,0.41,9.4,0.04,0.049,0.166,0.9954,3.12,0.61,9.9,6,"high"
"188",5.9,0.3,0.23,4.2,0.038,0.042,0.119,0.9924,3.15,0.5,11,5,"low"
"189",6.8,0.26,0.35,3.8,0.034,0.026,0.109,0.9906,3.26,0.57,12.7,8,"high"
"190",6.5,0.28,0.28,8.5,0.047,0.054,0.21,0.9962,3.09,0.54,8.9,4,"low"
"191",6.6,0.28,0.28,8.5,0.052,0.055,0.211,0.9962,3.09,0.55,8.9,6,"high"
"192",6.8,0.28,0.4,22,0.048,0.048,0.167,1.001,2.93,0.5,8.7,5,"low"
"193",6.8,0.28,0.36,8,0.045,0.028,0.123,0.9928,3.02,0.37,11.4,6,"high"
"194",6.6,0.15,0.34,5.1,0.055,0.034,0.125,0.9942,3.36,0.42,9.6,5,"low"
"195",6.4,0.29,0.44,3.6,0.042,0.075,0.181,0.9942,3.02,0.41,9.1,5,"low"
"196",6.4,0.3,0.45,3.5,0.042,0.076,0.18,0.9942,3.02,0.39,9.1,6,"high"
"197",6.4,0.29,0.44,3.6,0.042,0.075,0.183,0.9942,3.01,0.38,9.1,5,"low"
"198",6.8,0.26,0.24,7.8,0.052,0.054,0.214,0.9961,3.13,0.47,8.9,5,"low"
"199",7.1,0.32,0.24,13.1,0.05,0.052,0.204,0.998,3.1,0.49,8.8,5,"low"
"200",6.8,0.26,0.24,7.8,0.052,0.054,0.214,0.9961,3.13,0.47,8.9,5,"low"
"201",6.8,0.27,0.26,16.1,0.049,0.055,0.196,0.9984,3.15,0.5,9.3,5,"low"
"202",7.1,0.32,0.24,13.1,0.05,0.052,0.204,0.998,3.1,0.49,8.8,5,"low"
"203",6.9,0.26,0.32,13.2,0.05,0.053,0.236,0.9973,3.2,0.5,9.6,5,"low"
"204",6.8,0.26,0.34,13.9,0.034,0.039,0.134,0.9949,3.33,0.53,12,6,"high"
"205",5.8,0.28,0.35,2.3,0.053,0.036,0.114,0.9924,3.28,0.5,10.2,4,"low"
"206",6.4,0.21,0.5,11.6,0.042,0.045,0.153,0.9972,3.15,0.43,8.8,5,"low"
"207",7,0.16,0.32,8.3,0.045,0.038,0.126,0.9958,3.21,0.34,9.2,5,"low"
"208",6.8,0.44,0.31,6.2,0.049,0.02,0.124,0.9968,2.99,0.51,9.9,4,"low"
"209",6.8,0.26,0.29,2.2,0.04,0.015,0.077,0.9938,3.32,0.74,10.2,5,"low"
"210",6.1,0.4,0.31,0.9,0.048,0.023,0.17,0.993,3.22,0.47,9.5,6,"high"
"211",5.6,0.245,0.25,9.7,0.032,0.012,0.068,0.994,3.31,0.34,10.5,5,"low"
"212",6.8,0.18,0.38,1.4,0.038,0.035,0.111,0.9918,3.32,0.59,11.2,7,"high"
"213",7,0.16,0.32,8.3,0.045,0.038,0.126,0.9958,3.21,0.34,9.2,5,"low"
"214",6.7,0.13,0.29,5.3,0.051,0.031,0.122,0.9944,3.44,0.37,9.7,6,"high"
"215",6.2,0.25,0.25,1.4,0.03,0.035,0.105,0.9912,3.3,0.44,11.1,7,"high"
"216",5.8,0.26,0.24,9.2,0.044,0.055,0.152,0.9961,3.31,0.38,9.4,5,"low"
"217",7.5,0.27,0.36,7,0.036,0.045,0.164,0.9939,3.03,0.33,11,5,"low"
"218",5.8,0.26,0.24,9.2,0.044,0.055,0.152,0.9961,3.31,0.38,9.4,5,"low"
"219",5.7,0.28,0.24,17.5,0.044,0.06,0.167,0.9989,3.31,0.44,9.4,5,"low"
"220",7.5,0.23,0.36,7,0.036,0.043,0.161,0.9938,3.04,0.32,11,5,"low"
"221",7.5,0.27,0.36,7,0.036,0.045,0.164,0.9939,3.03,0.33,11,5,"low"
"222",7.2,0.26,0.21,9.5,0.07,0.033,0.172,0.9971,3,0.55,9.1,6,"high"
"223",6.2,0.25,0.25,1.4,0.03,0.035,0.105,0.9912,3.3,0.44,11.1,7,"high"
"224",6.5,0.19,0.3,0.8,0.043,0.033,0.144,0.9936,3.42,0.39,9.1,6,"high"
"225",6.3,0.26,0.22,1.8,0.046,0.031,0.14,0.9929,3.39,0.54,10.4,6,"high"
"226",7.1,0.24,0.41,17.8,0.046,0.039,0.145,0.9998,3.32,0.39,8.7,5,"low"
"227",6.4,0.17,0.32,2.4,0.048,0.041,0.2,0.9938,3.5,0.5,9.7,6,"high"
"228",7.1,0.25,0.32,10.3,0.041,0.066,0.134,0.9969,3.17,0.52,9.1,6,"high"
"229",6.4,0.17,0.32,2.4,0.048,0.041,0.2,0.9938,3.5,0.5,9.7,6,"high"
"230",7.1,0.24,0.41,17.8,0.046,0.039,0.145,0.9998,3.32,0.39,8.7,5,"low"
"231",6.8,0.26,0.31,9.7,0.062,0.026,0.142,0.9972,3.37,0.46,8.9,4,"low"
"232",8.3,0.28,0.4,7.8,0.041,0.038,0.194,0.9976,3.34,0.51,9.6,6,"high"
"233",8.2,0.27,0.39,7.8,0.039,0.049,0.208,0.9976,3.31,0.51,9.5,6,"high"
"234",7.2,0.23,0.38,14.3,0.058,0.055,0.194,0.9979,3.09,0.44,9,6,"high"
"235",7.2,0.23,0.38,14.3,0.058,0.055,0.194,0.9979,3.09,0.44,9,6,"high"
"236",7.2,0.23,0.38,14.3,0.058,0.055,0.194,0.9979,3.09,0.44,9,6,"high"
"237",7.2,0.23,0.38,14.3,0.058,0.055,0.194,0.9979,3.09,0.44,9,6,"high"
"238",6.8,0.26,0.32,13.2,0.044,0.054,0.221,0.9972,3.27,0.5,9.6,6,"high"
"239",7,0.26,0.31,1.4,0.037,0.04,0.12,0.9918,3.34,0.41,11.1,7,"high"
"240",6.2,0.25,0.21,15.55,0.039,0.028,0.159,0.9982,3.48,0.64,9.6,6,"high"
"241",7.3,0.32,0.23,13.7,0.05,0.049,0.197,0.9985,3.2,0.46,8.7,5,"low"
"242",7.7,0.31,0.26,7.8,0.031,0.023,0.09,0.9944,3.13,0.5,10.4,5,"low"
"243",7.1,0.21,0.37,2.4,0.026,0.023,0.1,0.9903,3.15,0.38,11.4,7,"high"
"244",6.8,0.24,0.34,2.7,0.047,0.0645,0.2185,0.9934,3.3,0.58,9.7,6,"high"
"245",6.9,0.4,0.56,11.2,0.043,0.04,0.142,0.9975,3.14,0.46,8.7,5,"low"
"246",6.1,0.18,0.36,2,0.038,0.02,0.2495,0.9923,3.37,0.47,11.3,6,"high"
"247",6.8,0.21,0.27,2.1,0.03,0.026,0.139,0.99,3.16,0.61,12.6,7,"high"
"248",5.8,0.2,0.27,1.4,0.031,0.012,0.077,0.9905,3.25,0.36,10.9,7,"high"
"249",5.6,0.19,0.26,1.4,0.03,0.012,0.076,0.9905,3.25,0.37,10.9,7,"high"
"250",6.1,0.41,0.14,10.4,0.037,0.018,0.119,0.996,3.38,0.45,10,5,"low"
"251",5.9,0.21,0.28,4.6,0.053,0.04,0.199,0.9964,3.17,0.7,10,4,"low"
"252",8.5,0.26,0.21,16.2,0.042,0.041,0.197,0.998,3.02,0.5,9.8,3,"low"
"253",6.9,0.4,0.56,11.2,0.043,0.04,0.142,0.9975,3.14,0.46,8.7,5,"low"
"254",5.8,0.24,0.44,3.5,0.029,0.005,0.109,0.9913,3.53,0.43,11.7,3,"low"
"255",5.8,0.24,0.39,1.5,0.054,0.037,0.158,0.9932,3.21,0.52,9.3,6,"high"
"256",6.7,0.26,0.39,1.1,0.04,0.045,0.147,0.9935,3.32,0.58,9.6,8,"high"
"257",6.3,0.35,0.3,5.7,0.035,0.008,0.097,0.9927,3.27,0.41,11,7,"high"
"258",6.3,0.35,0.3,5.7,0.035,0.008,0.097,0.9927,3.27,0.41,11,7,"high"
"259",6.4,0.23,0.39,1.8,0.032,0.023,0.118,0.9912,3.32,0.5,11.8,6,"high"
"260",5.8,0.36,0.38,0.9,0.037,0.003,0.075,0.9904,3.28,0.34,11.4,4,"low"
